"","tourney_name","long","lat"
"1","Adelaide",138.5999312,-34.9281805
"2","Auckland",174.7631803,-36.852095
"3","Barcelona",2.1774322,41.3828939
"4","Bastad",12.8607151,56.4267895
"5","Berlin",13.3888599,52.5170365
"6","Birmingham",-1.9026911,52.4796992
"7","Boston",-71.0582912,42.3602534
"8","Bournemouth",-1.8767712,50.7194784
"9","Brisbane",153.0234991,-27.4689682
"10","Buenos Aires",-58.4370894,-34.6075682
"11","Cincinnati",-84.5124602,39.1014537
"12","Doha",51.5264162,25.2856329
"13","Dubai",55.2924914,25.2653471
"14","Eastbourne",0.2957854,50.7685761
"15","Gstaad",7.2873587,46.4761004
"16","Hamburg",10.000654,53.550341
"17","Houston",-95.3676974,29.7589382
"18","Indian Wells",-116.338303,33.7217965
"19","Indianapolis",-86.1583502,39.7683331
"20","Johannesburg",28.049722,-26.205
"21","Key Biscayne",-80.1635261,25.6968351
"22","Kitzbuhel",12.3911473,47.4463585
"23","Los Angeles",-118.242766,34.0536909
"24","Madrid",-3.7035825,40.4167047
"25","Memphis",-90.0516285,35.1490215
"26","Miami",-80.19362,25.7741728
"27","Moscow",37.6174943,55.7504461
"28","Munich",11.5753822,48.1371079
"29","Newport",-71.3137707,41.4899827
"30","Nice",7.2683912,43.7009358
"31","Palermo",13.3524434,38.1112268
"32","Philadelphia",-75.1635262,39.9527237
"33","Queen's Club",-73.7976337,40.7498243
"34","Roland Garros",2.2961315,51.0051806
"35","Rome",12.4829321,41.8933203
"36","Stockholm",18.0710935,59.3251172
"37","Sydney",151.2164539,-33.8548157
"38","Tokyo",139.7594549,35.6828387
"39","Toronto",-79.3839347,43.6534817
"40","Vienna",16.3725042,48.2083537
"41","Washington",-77.0365427,38.8950368
"42","Wimbledon",-0.2064027,51.4214787
